"","B.Code","A.Level.Name","Out.WG.Start","Out.WG.Unit"
"49","AN0057","300 PPL",15.5,"kg"
"50","AN0057","450 PPL",15.7,"kg"
"51","BO1001","Diet 1",19.18,"kg"
"52","BO1001","Diet 2",18.56,"kg"
"53","BO1001","Diet 3",18.54,"kg"
"54","BO1001","Diet 4",19.08,"kg"
"55","BO1001","Diet 5",18.16,"kg"
"56","BO1002","Control",41,"kg"
"57","BO1002","MA20",41,"kg"
"58","BO1002","MA40",41,"kg"
"59","BO1003","C25",11.36,"kg"
"60","BO1003","C50",12.36,"kg"
"61","BO1003","C75",11.48,"kg"
"62","BO1004","Treatment 1",26.7,"kg"
"63","BO1004","Treatment 2",26.7,"kg"
"64","BO1004","Treatment 3",26.7,"kg"
"65","BO1005","OSCM",23.1,"kg"
"66","BO1005","TMRL",22.9,"kg"
"67","BO1006","Ration 1",20.56,"kg"
"68","BO1006","Ration 2",20.52,"kg"
"69","BO1006","Ration 3",20.32,"kg"
"70","BO1007","HAK10",23.15,"kg"
"71","BO1007","HAK15",22.52,"kg"
"72","BO1007","HAK20",23.97,"kg"
"73","BO1007","HAK30",22.85,"kg"
"74","BO1008","Control",43.28,"kg"
"75","BO1008","G1",43.71,"kg"
"76","BO1008","G2",43.14,"kg"
"77","BO1009","Diet 1",5.85,"kg"
"78","BO1009","Diet 2",6.955,"kg"
"79","BO1009","Diet 3",6.9,"kg"
"80","BO1009","Diet 4",7.15,"kg"
"81","BO1010","A. dilbata",19.2,"kg"
"82","BO1010","A. mearnsii",19.2,"kg"
"83","BO1010","Protein supplement",19.2,"kg"
"84","BO1010","Rangeland hay Control",19.2,"kg"
"85","BO1011","Control",32.41,"kg"
"86","BO1011","Diet 1",32.73,"kg"
"87","BO1011","Diet 2",32.91,"kg"
"88","BO1011","Diet 3",32.95,"kg"
"89","BO1012","DLL0",19.8,"kg"
"90","BO1012","DLL10",20.5,"kg"
"91","BO1012","DLL15",19.8,"kg"
"92","BO1012","DLL20",20.2,"kg"
"93","BO1012","DLL5",20,"kg"
"94","BO1013","Diet 1",19.62,"kg"
"95","BO1013","Diet 2",19.84,"kg"
"96","BO1013","Diet 3",19.98,"kg"
"97","BO1013","Diet 4",19.46,"kg"
"98","BO1014","Diet 1",12.08,"kg"
"99","BO1014","Diet 2",12.12,"kg"
"100","BO1014","Diet 3",12.32,"kg"
"101","BO1014","Diet 4",12.32,"kg"
"102","BO1014","Diet 5",12.02,"kg"
"103","BO1014","Diet 6",12.32,"kg"
"104","BO1014","Diet 7",12.28,"kg"
"105","BO1015","42% CFM +52% CS +6% SS (G3)",45.88,"kg"
"106","BO1015","42% CFM +52% CS +6% TSS (G5)",47.1,"kg"
"107","BO1015","46% CFM +51% CS +3% SS (G2)",45,"kg"
"108","BO1015","46% CFM +51% CS +3% TSS (G4)",46.37,"kg"
"109","BO1015","50% CFM +50% CS (G1)",44.3,"kg"
"110","BO1016","InHay +Cal",28.8,"kg"
"111","BO1016","InHay +Cal +PEG",28.1,"kg"
"112","BO1017","BRT1",22,"kg"
"113","BO1017","BRT2",22,"kg"
"114","BO1017","BRT3",22,"kg"
"115","BO1017","BRT4",22,"kg"
"116","BO1017","BT1",22,"kg"
"117","BO1017","BT2",22,"kg"
"118","BO1017","BT3",22,"kg"
"119","BO1017","BT4",22,"kg"
"120","BO1017","RT1",22,"kg"
"121","BO1017","RT2",22,"kg"
"122","BO1017","RT3",22,"kg"
"123","BO1017","RT4",22,"kg"
"124","BO1018","ASY +ve",43.02,"kg"
"125","BO1018","ASY -ve",42.76,"kg"
"126","BO1018","BHY -ve",42.59,"kg"
"127","BO1018","BHY+ve",42.91,"kg"
"128","BO1018","FAY +ve",43.23,"kg"
"129","BO1018","FAY -ve",43.07,"kg"
"130","BO1019","GLM0",9.05,"kg"
"131","BO1019","GLM12",8.67,"kg"
"132","BO1019","GLM24",9.25,"kg"
"133","BO1019","GLM36",9.19,"kg"
"134","BO1020","Control group",43.5,"kg"
"135","BO1020","Moringa leaves group",43.5,"kg"
"136","BO1021","0% Nigella sativa",38.9,"kg"
"137","BO1021","100% Nigella sativa",38.9,"kg"
"138","BO1021","50% Nigella sativa",38.9,"kg"
"139","BO1023","CGS diet",404.71,"kg"
"140","BO1023","HSB diet",405.22,"kg"
"141","BO1023","LSB diet",404.9,"kg"
"142","BO1024","Diet 0%",17.66,"kg"
"143","BO1024","Diet 15%",17.92,"kg"
"144","BO1024","Diet 30%",17.83,"kg"
"145","BO1024","Diet 45%",17.83,"kg"
"146","BO1025","100% (DVLM + DMLM)",20.94,"kg"
"147","BO1025","100% concentrate mix",20.84,"kg"
"148","BO1025","25% NSC + 75% (DVLM + DMLM)",20.95,"kg"
"149","BO1025","50% NSC + 50% (DVLM + DMLM)",20.83,"kg"
"150","BO1025","75% NSC + 25% (DVLM + DMLM)",20.98,"kg"
"151","BO1026","Diet 1",23.64,"kg"
"152","BO1026","Diet 2",23.02,"kg"
"153","BO1026","Diet 3",23.33,"kg"
"154","BO1026","Diet 4",22.49,"kg"
"155","BO1026","Diet 5",22.99,"kg"
"156","BO1027","EM treated RH",18,"kg"
"157","BO1027","EM treated SCB",18.1,"kg"
"158","BO1027","Tv treated RH",18.1,"kg"
"159","BO1027","Tv treated SCB",18.2,"kg"
"160","BO1027","Untreated RH",18.2,"kg"
"161","BO1027","Untreated SCB",18.1,"kg"
"162","BO1028","UMB + UTTS + concentrate",287.46,"kg"
"163","BO1028","UTS + concentrate",376.83,"kg"
"164","BO1028","UTTS + concentrate",286.2,"kg"
"165","BO1029","T0 (100 CH)",37,"kg"
"166","BO1029","T1 (50CH:50DBV)",40.88,"kg"
"167","BO1029","T2 (25CH:75DBV)",42.63,"kg"
"168","BO1029","T3 (100DBV)",40.38,"kg"
"169","BO1030","(R + SPVS)",148,"kg"
"170","BO1030","(R + UMB)",148,"kg"
"171","BO1030","Roughage Only",148,"kg"
"172","BO1031","Diet 1",17.5,"kg"
"173","BO1031","Diet 2",17.8,"kg"
"174","BO1031","Diet 3",17.8,"kg"
"175","BO1031","Diet 4",17.8,"kg"
"176","BO1031","Diet 5",18,"kg"
"177","BO1032","NSM0",41,"kg"
"178","BO1032","NSM100",41.3,"kg"
"179","BO1032","NSM50",41.1,"kg"
"180","BO1032","NSM75",41.4,"kg"
"181","BO1033","Melon seed husk 10",108,"kg"
"182","BO1033","Melon seed husk 20",103.67,"kg"
"183","BO1033","Melon seed husk 5",106.67,"kg"
"184","BO1033","Melon seek husk 0",105.67,"kg"
"185","BO1035","Bermuda Diet",15.4,"kg"
"186","BO1035","Elephant Diet",16.08,"kg"
"187","BO1035","Guinea Diet",15.7,"kg"
"188","BO1035","Rhodes Diet",16.13,"kg"
"189","BO1036","100% (MLM +VLM)",20.94,"kg"
"190","BO1036","100% concentrate mix",20.84,"kg"
"191","BO1036","25% NSC + 75% (MLM +VLM)",20.95,"kg"
"192","BO1036","50% NSC+ 50% (MLM +VLM)",20.83,"kg"
"193","BO1036","75% NSC+25% (MLM +VLM)",20.98,"kg"
"194","BO1037","0% cabbage carrot waste",9.99,"kg"
"195","BO1037","10% cabbage waste",9.89,"kg"
"196","BO1037","10% carrot waste",9.96,"kg"
"197","BO1037","5% carrot 5% cabbage waste",9.92,"kg"
"198","BO1038","0% treated rice offal",153.33,"kg"
"199","BO1038","10% treated rice offal",153.67,"kg"
"200","BO1038","15% treated rice ofall",156,"kg"
"201","BO1038","5% treated rice offal",153.67,"kg"
"202","BO1039","400 g B.balcooa",9.9,"kg"
"203","BO1039","400 g O. abyssinica",9.8,"kg"
"204","BO1039","600 g B.balcooa",9.9,"kg"
"205","BO1039","600 g O. abyssinica",9.9,"kg"
"206","BO1039","Control diet",9.5,"kg"
"207","BO1040","Control  group",500,"kg"
"208","BO1040","R-SAF",500,"kg"
"209","BO1040","R-SUN",500,"kg"
"210","BO1041","CG (Grazing)",36.2,"kg"
"211","BO1041","T1G (Forage)",35.9,"kg"
"212","BO1041","T2G (Concentrate)",36.7,"kg"
"213","BO1041","T3G (Urea Molasses)",36,"kg"
"214","BO1042","0% cashew nut shell",6.16,"kg"
"215","BO1042","10% cashew nut shell",6.2,"kg"
"216","BO1042","15% cashew nut shell",6.27,"kg"
"217","BO1042","20% cashew nut shell",6.2,"kg"
"218","BO1043","T1 0 SCPM 100 CPM",8.35,"kg"
"219","BO1043","T2 25 SCPM 75 CPM",8.35,"kg"
"220","BO1043","T3 50 SCPM 50 CPM",8.35,"kg"
"221","BO1043","T4 75 SCPM 25 CPM",8.35,"kg"
"222","BO1044","T1 (GG100%)",9,"kg"
"223","BO1044","T2 (GG80% + CSP10% + SBCW10%)",9.2,"kg"
"224","BO1044","T3 (GG60% + CSP30% + SBCW10%)",9,"kg"
"225","BO1044","T4 (GG40% + CSP50% + SBCW10%)",9.13,"kg"
"226","BO1045","R1: 70% CFM + 30% BS",34.5,"kg"
"227","BO1045","R2: 70% CFM + 30% BS + 3% FA",35.25,"kg"
"228","BO1045","R3: 70% CFM + 30% (BH)",34.53,"kg"
"229","BO1045","R4: 70% CFM + 30% BH + 3% FA",34.75,"kg"
"230","BO1046","Basal Diet + Cowpea Residues (Ama)",15.15,"kg"
"231","BO1046","Basal Diet + Cowpea Residues (Ate)",15.2,"kg"
"232","BO1046","Basal Diet + Groundnut Residues (Ama)",15.02,"kg"
"233","BO1046","Basal Diet + Groundnut Residues (Ate)",14.6,"kg"
"234","BO1046","Basal Diet Only (Ama)",15.1,"kg"
"235","BO1046","Basal Diet Only (Ate)",15,"kg"
"236","BO1047","EM treated RH",18,"kg"
"237","BO1047","EM treated SCB",18,"kg"
"238","BO1047","Tv treated RH",18,"kg"
"239","BO1047","Tv treated SCB",18,"kg"
"240","BO1047","Untreated RH",18,"kg"
"241","BO1047","Untreated SCB",18,"kg"
"242","BO1048","60:40 ratio",21.75,"kg"
"243","BO1048","70;30 ratio",21.75,"kg"
"244","BO1048","80:20 ratio",22,"kg"
"245","BO1048","90;10 ratio",21.75,"kg"
"246","BO1049","CFM + BH",12.23,"kg"
"247","BO1049","CFM + Cellulase & fibrolytic treated DPL + BH",12.84,"kg"
"248","BO1049","CFM + Cellulase treated DPL +BH",12.46,"kg"
"249","BO1049","CFM + Fibrolytic treated DPL + BH",12.64,"kg"
"250","BO1049","CFM + untreated DPL + BH",12.62,"kg"
"251","BO1052","0% untreated WMV",550,"kg"
"252","BO1052","100% treated WMV",550,"kg"
"253","BO1052","25% treated WMV",550,"kg"
"254","BO1052","50% treated WMV",550,"kg"
"255","BO1052","75% treated WMV",550,"kg"
"256","BO1053","inoculated silage buffalo",582,"kg"
"257","BO1053","inoculated silage cattle",595,"kg"
"258","BO1053","non-inoculated silage buffalo",582,"kg"
"259","BO1053","non-inoculated silage cattle",595,"kg"
"260","BO1054","0 PCK",196.5,"kg"
"261","BO1054","10 PCK",198,"kg"
"262","BO1054","20 PCK",192.25,"kg"
"263","BO1054","30 PCK",197.5,"kg"
"264","BO1054","40 PCK",197.75,"kg"
"265","BO1055","Cassava meal D3",6.84,"kg"
"266","BO1055","Control D1",6.77,"kg"
"267","BO1055","Rice D2",6.82,"kg"
"268","BO1056","CS",62.88,"kg"
"269","BO1056","RSPHigh",62.88,"kg"
"270","BO1056","RSPLow",62.88,"kg"
"271","BO1056","RSPMed",62.38,"kg"
"272","BO1059","Control Diet",20.5,"kg"
"273","BO1059","SBLS with 0.3% urea",20.7,"kg"
"274","BO1059","SBLS with 0.6% urea",21,"kg"
"275","BO1060","Diet 1",12.99,"kg"
"276","BO1060","Diet 2",13,"kg"
"277","BO1060","Diet 3",13,"kg"
"278","BO1060","Diet 4",12.98,"kg"
"279","BO1060","Diet 5",12.98,"kg"
"280","BO1062","Control Diet",0.1709,"kg"
"281","BO1062","ENZ0",0.1709,"kg"
"282","BO1062","ENZ100",0.1709,"kg"
"283","BO1062","ENZ25",0.1709,"kg"
"284","BO1062","ENZ50",0.1709,"kg"
"285","BO1062","ENZ75",0.1709,"kg"
"286","BO1064","Baobab Diet",179,"kg"
"287","BO1064","Des Diet",2.999,"kg"
"288","BO1064","Eup Diet",3.03,"kg"
"289","BO1064","Mor Diet",2.9907,"kg"
"290","BO1064","Pan Diet",3.0063,"kg"
"291","BO1064","Soybean Diet",171,"kg"
"292","BO1064","Vachellia Diet",179,"kg"
"293","BO1065","MOLM0",7,"kg"
"294","BO1065","MOLM100",7,"kg"
"295","BO1065","MOLM50",6.8,"kg"
"296","BO1066","Control",17.83,"kg"
"297","BO1066","RRF",17.83,"kg"
"298","BO1066","RRS",17.83,"kg"
"299","BO1067","0MS",18.83,"kg"
"300","BO1067","15MS",19.71,"kg"
"301","BO1067","30MS",19.33,"kg"
"302","BO1068","10% flaxseed (T3)",39.6,"kg"
"303","BO1068","10% full fat soya (T1)",39.6,"kg"
"304","BO1068","5% flaxseed + 5% full fat soya (T2)",39.6,"kg"
"305","BO1069","BG diet",16.7,"kg"
"306","BO1069","CG diet",16.3,"kg"
"307","BO1069","MRG diet",16.3,"kg"
"308","BO1070","0% V. amygdalina",15.5,"kg"
"309","BO1070","100% V. amygdalina",15.5,"kg"
"310","BO1070","25% V. amygdalina",15.5,"kg"
"311","BO1070","50% V. amygdalina",15.5,"kg"
"312","BO1070","75% V. amygdalina",15.5,"kg"
"313","BO1070","BhH",238.3,"kg"
"314","BO1070","NGH",238.3,"kg"
"315","BO1070","NPH",238.3,"kg"
"316","BO1070","TTS",238.3,"kg"
"317","BO1072","HPF",109.6,"kg"
"318","BO1072","LPF",108.5,"kg"
"319","BO1072","MPF",109.5,"kg"
"320","BO1073","100% BH",53.8,"kg"
"321","BO1073","25% CMH",53.4,"kg"
"322","BO1073","50% CMH",53.4,"kg"
"323","BO1073","75% CMH",53.4,"kg"
"324","BO1074","0% corn cobs",8.66,"kg"
"325","BO1074","25% corn cobs",9,"kg"
"326","BO1074","50% corn cobs",7.33,"kg"
"327","BO1075","Diet 1",13.77,"kg"
"328","BO1075","Diet 2",13.77,"kg"
"329","BO1075","Diet 3",13.77,"kg"
"330","BO1075","Diet 4",13.77,"kg"
"331","BO1076","0 GBVH",44.4,"kg"
"332","BO1076","100 GBVH",42.6,"kg"
"333","BO1076","25 GBVH",43.8,"kg"
"334","BO1076","50 GBVH",45.4,"kg"
"335","BO1076","75 GBVH",40.8,"kg"
"336","BO1077","0 Groundnut haulms",200,"kg"
"337","BO1077","25 Groundnut haulms",200,"kg"
"338","BO1077","50 Groundnut haulms",200,"kg"
"339","BO1077","75 Groundnut haulms",200,"kg"
"340","BO1078","30R:70C",20.8,"kg"
"341","BO1078","40R:60C",20.8,"kg"
"342","BO1078","50R:50C",20.8,"kg"
"343","BO1078","60R:40C",20.8,"kg"
"344","BO1079","CSL 0%",9.15,"kg"
"345","BO1079","CSL 10%",11.5,"kg"
"346","BO1079","CSL 20%",10.7,"kg"
"347","BO1079","CSL 30%",11.1,"kg"
"348","BO1080","Diet 1",165.92,"kg"
"349","BO1080","Diet 2",159.36,"kg"
"350","BO1080","Diet 3",163.84,"kg"
"351","BO1080","Diet 4",157.28,"kg"
"352","BO1081","0% YPM",14.1,"kg"
"353","BO1081","20% YPM",13.9,"kg"
"354","BO1081","40% YPM",14,"kg"
"355","BO1081","60% YPM",14.4,"kg"
"356","BO1082","R1 (0% soybean pulp)",12.6,"kg"
"357","BO1082","R2 (10% soybean pulp)",12.6,"kg"
"358","BO1082","R3 (20% soybean pulp)",12.7,"kg"
"359","BO1083","0 CPLM",7.19,"kg"
"360","BO1083","10 CPLM",7.19,"kg"
"361","BO1083","20 CPLM",7.19,"kg"
"362","BO1083","30 CPLM",7.19,"kg"
"363","BO1084","Elephant grass ensiled alone",19.6,"kg"
"364","BO1084","Elephant grass ensiled with 10% Dolichos lablab",19.6,"kg"
"365","BO1084","Elephant grass ensiled with 20% Dolichos lablab",19.5,"kg"
"366","BO1084","Elephant grass ensiled with 30% Dolichos lablab",19.2,"kg"
"367","BO1085","Control Diet",25.41,"kg"
"368","BO1085","Diet 1",25.02,"kg"
"369","BO1085","Diet 2",24.6,"kg"
"370","BO1085","Diet 3",24.58,"kg"
"371","BO1085","Diet 4",24.82,"kg"
"372","BO1085","Diet 5",24.5,"kg"
"373","BO1085","Diet 6",24.77,"kg"
"374","BO1086","0g coffee leaves",17.4,"kg"
"375","BO1086","10g coffee leaves",17.4,"kg"
"376","BO1086","15g coffee leaves",17.4,"kg"
"377","BO1086","20g coffee leaves",17.4,"kg"
"378","BO1086","5g coffee leaves",17.4,"kg"
"379","BO1087","T1 (100% NSC)",17.96,"kg"
"380","BO1087","T2 (75 NSC:25 CSH %)",18.1,"kg"
"381","BO1087","T3 (50 NSC:50 CSH %)",18.23,"kg"
"382","BO1087","T4 (25 NSC:75 CSH %)",18.43,"kg"
"383","BO1087","T5 (100% CSH)",18.6,"kg"
"384","BO1089","A. africana",12,"kg"
"385","BO1089","A. occidentale diet",12,"kg"
"386","BO1089","A.barteri diet",12,"kg"
"387","BO1089","M.indica diet",12,"kg"
"388","BO1090","Diet 1",24.2,"kg"
"389","BO1090","Diet 2",24,"kg"
"390","BO1090","Diet 3",23.9,"kg"
"391","BO1090","Diet 4",24.21,"kg"
"392","BO1091","Diet 184 g/d",18.92,"kg"
"393","BO1091","Diet 368 g/d",18.92,"kg"
"394","BO1091","Diet 552 g/d",18.92,"kg"
"395","BO1092","0 RCNS",6.74,"kg"
"396","BO1092","10 RCNS",6.74,"kg"
"397","BO1092","15 RCNS",6.74,"kg"
"398","BO1092","5 RCNS",6.74,"kg"
"399","BO1093","0CPM",15,"kg"
"400","BO1093","100 CPM",17,"kg"
"401","BO1093","60 CPM",15.13,"kg"
"402","BO1093","80 CPM",15.5,"kg"
"403","BO1096","0% Sweet Potato Peels",19.25,"kg"
"404","BO1096","10% Sweet Potato Peels",19.5,"kg"
"405","BO1096","20% Sweet Potato Peels",19.5,"kg"
"406","BO1096","30% Sweet Potato Peels",19.5,"kg"
"407","BO1097","0% Alfafa",18.33,"kg"
"408","BO1097","100% Alfafa",18.66,"kg"
"409","BO1097","25% Alfafa",18.66,"kg"
"410","BO1097","50% Alfafa",18.33,"kg"
"411","BO1097","75% Alfafa",18.33,"kg"
"412","BO1098","0 CRSCLM",7.19,"kg"
"413","BO1098","20 CRSCLM",7.19,"kg"
"414","BO1098","40 CRSCLM",7.19,"kg"
"415","BO1098","60 CRSCLM",7.19,"kg"
"416","CJ1000","280SES",18.02,"kg"
"417","CJ1000","300CFM",18,"kg"
"418","CJ1000","330ATELLA",18.03,"kg"
"419","CJ1000","360FAIDH",18.05,"kg"
"420","CJ1001","100 Percent",25.3,"kg"
"421","CJ1001","33 Percent",25.2,"kg"
"422","CJ1001","67 Percent",25,"kg"
"423","CJ1001","Zero Percent",25.6,"kg"
"424","CJ1002","Leucaena hay",50.3,"kg"
"425","CJ1002","OSCM",56.1,"kg"
"426","CJ1003","Baobab",179,"kg"
"427","CJ1003","Soybean",171,"kg"
"428","CJ1003","Vachellia",179,"kg"
"429","CJ1004","Feed Blocks",14.35,"kg"
"430","CJ1004","Gliricidia: leucaena",14.33,"kg"
"431","CJ1004","Maize off",12.56,"kg"
"432","CJ1004","Poult Manure",11.88,"kg"
"433","CJ1006","R1",500,"kg"
"434","CJ1006","R2",500,"kg"
"435","CJ1006","R3",500,"kg"
"436","CJ1007","alfalfa hay goat",25.93,"kg"
"437","CJ1007","alfalfa hay sheep",26.42,"kg"
"438","CJ1007","mixture forage goat",25,"kg"
"439","CJ1007","mixture forage sheep",26.71,"kg"
"440","CJ1009","Commercial fed",35,"kg"
"441","CJ1009","DC20",35,"kg"
"442","CJ1009","DC40",35,"kg"
"443","CJ1009","DC60",35,"kg"
"444","CJ1009","VE20",35,"kg"
"445","CJ1009","VE40",35,"kg"
"446","CJ1009","VE60",35,"kg"
"447","CJ1012","B",12.4,"kg"
"448","CJ1012","C",12.3,"kg"
"449","CJ1012","Control",12.3,"kg"
"450","CJ1013","1",29.9408099688473,"kg"
"451","CJ1013","2",30.5404984423676,"kg"
"452","CJ1013","3",30.7476635514018,"kg"
"453","CJ1014","Daniellia oliveri Leaf Meal 0",10.71,"kg"
"454","CJ1014","Daniellia oliveri Leaf Meal 20",10.79,"kg"
"455","CJ1014","Daniellia oliveri Leaf Meal 30",10.52,"kg"
"456","CJ1014","Daniellia oliveri Leaf Meal 40",10.65,"kg"
"457","CJ1015","20%ALH",38.9,"kg"
"458","CJ1015","40%ALH",39.9,"kg"
"459","CJ1015","60%ALH",38.3,"kg"
"460","CJ1015","Control",39.8,"kg"
"461","CJ1016","T1",10.05,"kg"
"462","CJ1016","T2",10.05,"kg"
"463","CJ1016","T3",10.05,"kg"
"464","CJ1016","T4",10.05,"kg"
"465","CJ1017","25% AFH",40.2,"kg"
"466","CJ1017","50%AFH",40.3,"kg"
"467","CJ1017","75%AFH",40.5,"kg"
"468","CJ1017","Control",40.1,"kg"
"469","CJ1018","Control",26.6,"kg"
"470","CJ1018","Euclea cris",26.6,"kg"
"471","CJ1018","Maize",26.6,"kg"
"472","CJ1018","PEG",26.6,"kg"
"473","CJ1018","Searsia lanc",26.6,"kg"
"474","CJ1018","Searsia pyroid",26.6,"kg"
"475","CJ1018","Soya",26.6,"kg"
"476","CJ1018","mixed",26.6,"kg"
"477","CJ1019","T1",7.72,"kg"
"478","CJ1019","T2",7.5,"kg"
"479","CJ1019","T3",7.14,"kg"
"480","CJ1019","T4",6.67,"kg"
"481","DK0001","Forage Based",14.2,"kg"
"482","DK0001","Forage Based...Silage Based...commercial feed",14.55,"kg"
"483","DK0001","Silage Based",13.9,"kg"
"484","DK0001","commercial feed",15.5,"kg"
"485","DK0007","Con",18.58,"kg"
"486","DK0007","T2 ESS",17.17,"kg"
"487","DK0007","T3 EAS",17.79,"kg"
"488","DK0007","T4 SSS",17.46,"kg"
"489","DK0007","T5 SAS",18.57,"kg"
"490","DK0037","MCC",28.75,"kg"
"491","DK0037","MCM",28.9,"kg"
"492","DK0037","SGZ",29,"kg"
"493","EM1004","Control Ration G1",40.19,"kg"
"494","EM1004","Ration G2",40.19,"kg"
"495","EM1004","Ration G3",40.19,"kg"
"496","EM1005","Control Ration1",45.75,"kg"
"497","EM1005","Ration 2",46.25,"kg"
"498","EM1005","Ration3",45.25,"kg"
"499","EM1006","CTSD",10.56,"kg"
"500","EM1006","PTC",9.11,"kg"
"501","EM1006","PTCD",9.62,"kg"
"502","EM1008","Leucaena 1",8.3,"kg"
"503","EM1008","Leucaena 2",8.3,"kg"
"504","EM1008","Leucaena 3",8.3,"kg"
"505","EM1008","Leucaena 4",8.3,"kg"
"506","EM1010","Control",25.3,"kg"
"507","EM1010","MSM",25.3,"kg"
"508","EM1011","T1 CM",19,"kg"
"509","EM1011","T2 CM+ML",19.2,"kg"
"510","EM1011","T3 CM+ML",19.8,"kg"
"511","EM1011","T4 CM+ML",19.9,"kg"
"512","EM1011","T5 ML",19.5,"kg"
"513","EM1012","T1  NSC",250,"kg"
"514","EM1012","T2 FSF",250,"kg"
"515","EM1012","T3 FSF",250,"kg"
"516","EM1013.1","FS50C50",15,"kg"
"517","EM1013.1","FS60C40",16.7,"kg"
"518","EM1013.1","FS70C30",19.7,"kg"
"519","EM1013.1","FS80C20",17.7,"kg"
"520","EM1013.1","FS90C10",14.9,"kg"
"521","EM1013.2","FS50L50",18.6,"kg"
"522","EM1013.2","FS60L40",18.3,"kg"
"523","EM1013.2","FS70L30",17.9,"kg"
"524","EM1013.2","FS80L20",20.4,"kg"
"525","EM1013.2","FS90L10",19.7,"kg"
"526","EM1013.3","FS50MN50",19,"kg"
"527","EM1013.3","FS60MN40",16.1,"kg"
"528","EM1013.3","FS70MN30",17.8,"kg"
"529","EM1013.3","FS80MN20",16.8,"kg"
"530","EM1013.3","FS90MN10",20.5,"kg"
"531","EM1013.4","FS61C39",19.2,"kg"
"532","EM1013.4","FS68L32",24.4,"kg"
"533","EM1013.4","FS77MN23",20.1,"kg"
"534","EM1014","T1A.B+PEG",11.37,"kg"
"535","EM1014","T2A.B+BC",11.83,"kg"
"536","EM1014","T3A.B",11.07,"kg"
"537","EM1014","T4B.D+PEG",8.83,"kg"
"538","EM1014","T5B.D+BC",10.43,"kg"
"539","EM1014","T6B.D",10.23,"kg"
"540","EM1015","T1HS",30.4,"kg"
"541","EM1015","T2GT",30.4,"kg"
"542","EM1015","T3HS+GT",30.4,"kg"
"543","EM1017","10MOL",31,"kg"
"544","EM1017","20MOL",29.91,"kg"
"545","EM1017","30MOL",29.33,"kg"
"546","EM1017","Control",30.33,"kg"
"547","EM1019","Control Ration",11.62,"kg"
"548","EM1019","Ration 1",11.36,"kg"
"549","EM1019","Ration 2",11.86,"kg"
"550","EM1020","T1 Control",18.4,"kg"
"551","EM1020","T2 2DVL:1WB",18.9,"kg"
"552","EM1020","T3 1DVL:1WB",19.1,"kg"
"553","EM1020","T4 1DVL:2WB",19,"kg"
"554","EM1022","T0 Typha silage",112,"kg"
"555","EM1022","T10 Typha silage",112,"kg"
"556","EM1022","T20 Typha silage",112,"kg"
"557","EM1022","T30 Typha silage",112,"kg"
"558","EM1023","1.5A",24.6,"kg"
"559","EM1023","1A",23.97,"kg"
"560","EM1023","2A",23.73,"kg"
"561","EM1023","Control",23.4,"kg"
"562","EM1026","Diet1",18.8,"kg"
"563","EM1026","Diet2",18.5,"kg"
"564","EM1026","Diet3",18.3,"kg"
